LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VAN,2,McLaren,19.0,0 days 00:02:52.517000,False,,0 days 00:01:24.462000,0 days 00:00:48.845000,,0 days 00:21:21.913000,0 days 00:21:41.650000,0 days 00:00:19.737000,15.0,18.0,+1 Lap,2018,GP Belgica,historica
1.0,RIC,3,Red Bull Racing,15.0,0 days 00:02:44.752000,False,,0 days 00:01:20.784000,0 days 00:00:46.815000,,0 days 00:21:15.463000,0 days 00:27:51.251000,0 days 00:06:35.788000,16.0,8.0,Retired,2018,GP Belgica,historica
1.0,VET,5,Ferrari,1.0,0 days 00:02:29.572000,False,,0 days 00:01:09.227000,0 days 00:00:46.208000,,0 days 00:21:00.165000,0 days 00:21:19.726000,0 days 00:00:19.561000,1.0,2.0,Finished,2018,GP Belgica,historica
1.0,RAI,7,Ferrari,20.0,0 days 00:03:27.671000,False,,,0 days 00:00:58.052000,,0 days 00:21:58.335000,0 days 00:22:24.560000,0 days 00:00:26.225000,17.0,6.0,Brakes,2018,GP Belgica,historica
1.0,GRO,8,Haas F1 Team,9.0,0 days 00:02:36.224000,False,,0 days 00:01:15.900000,0 days 00:00:45.619000,,0 days 00:21:06.226000,0 days 00:21:26.368000,0 days 00:00:20.142000,7.0,5.0,Finished,2018,GP Belgica,historica
1.0,ERI,9,Sauber,12.0,0 days 00:02:41.049000,False,,0 days 00:01:18.846000,0 days 00:00:45.940000,,0 days 00:21:11.617000,0 days 00:21:31.321000,0 days 00:00:19.704000,10.0,13.0,+1 Lap,2018,GP Belgica,historica
1.0,GAS,10,Toro Rosso,11.0,0 days 00:02:39.935000,False,,0 days 00:01:17.731000,0 days 00:00:46.429000,,0 days 00:21:09.867000,0 days 00:21:29.870000,0 days 00:00:20.003000,9.0,10.0,Finished,2018,GP Belgica,historica
1.0,PER,11,Racing Point,6.0,0 days 00:02:32.527000,False,,0 days 00:01:13.003000,0 days 00:00:45.275000,,0 days 00:21:02.944000,0 days 00:21:22.822000,0 days 00:00:19.878000,5.0,4.0,Finished,2018,GP Belgica,historica
1.0,ALO,14,McLaren,,,False,,,,SOFT,,,,19.0,15.0,Accident,2018,GP Belgica,historica
1.0,LEC,16,Sauber,,,False,,,,SOFT,,,,18.0,12.0,Accident,2018,GP Belgica,historica
1.0,STR,18,Williams,14.0,0 days 00:02:43.592000,False,,0 days 00:01:19.392000,0 days 00:00:47.090000,,0 days 00:21:14.008000,0 days 00:21:33.635000,0 days 00:00:19.627000,13.0,17.0,+1 Lap,2018,GP Belgica,historica
1.0,MAG,20,Haas F1 Team,10.0,0 days 00:02:37.550000,False,,0 days 00:01:16.912000,0 days 00:00:45.534000,,0 days 00:21:07.835000,0 days 00:21:27.758000,0 days 00:00:19.923000,8.0,9.0,Finished,2018,GP Belgica,historica
1.0,HUL,27,Renault,,,False,,,,SOFT,,,,20.0,20.0,Accident,2018,GP Belgica,historica
1.0,HAR,28,Toro Rosso,16.0,0 days 00:02:47.144000,False,,0 days 00:01:21.887000,0 days 00:00:47.932000,,0 days 00:21:17.227000,0 days 00:21:35.183000,0 days 00:00:17.956000,14.0,11.0,+1 Lap,2018,GP Belgica,historica
1.0,OCO,31,Racing Point,7.0,0 days 00:02:33.245000,False,,0 days 00:01:13.719000,0 days 00:00:45.366000,,0 days 00:21:03.850000,0 days 00:21:23.399000,0 days 00:00:19.549000,6.0,3.0,Finished,2018,GP Belgica,historica
1.0,VER,33,Red Bull Racing,8.0,0 days 00:02:34.928000,False,,0 days 00:01:14.197000,0 days 00:00:46.029000,,0 days 00:21:05.134000,0 days 00:21:24.999000,0 days 00:00:19.865000,3.0,7.0,Finished,2018,GP Belgica,historica
1.0,SIR,35,Williams,13.0,0 days 00:02:42.542000,False,,0 days 00:01:19.198000,0 days 00:00:46.665000,,0 days 00:21:12.992000,0 days 00:21:32.573000,0 days 00:00:19.581000,12.0,16.0,+1 Lap,2018,GP Belgica,historica
1.0,HAM,44,Mercedes,5.0,0 days 00:02:31.397000,False,,0 days 00:01:11.064000,0 days 00:00:46.124000,,0 days 00:21:01.945000,0 days 00:21:21.336000,0 days 00:00:19.391000,2.0,1.0,Finished,2018,GP Belgica,historica
1.0,SAI,55,Renault,17.0,0 days 00:02:48.471000,False,,0 days 00:01:23.022000,0 days 00:00:48.135000,,0 days 00:21:18.602000,0 days 00:21:37.025000,0 days 00:00:18.423000,11.0,14.0,+1 Lap,2018,GP Belgica,historica
1.0,BOT,77,Mercedes,18.0,0 days 00:02:51.105000,False,,0 days 00:01:23.063000,0 days 00:00:49.256000,,0 days 00:21:20.298000,0 days 00:21:40.510000,0 days 00:00:20.212000,4.0,19.0,Finished,2018,GP Belgica,historica
2.0,VAN,2,McLaren,16.0,,False,0 days 00:00:54.979000,0 days 00:01:13.121000,0 days 00:00:51.583000,SOFT,0 days 00:24:22.819000,0 days 00:24:45.660000,0 days 00:00:22.841000,15.0,18.0,+1 Lap,2018,GP Belgica,historica
2.0,RIC,3,Red Bull Racing,17.0,,False,,0 days 00:00:56.033000,0 days 00:00:47.424000,SOFT,,,,16.0,8.0,Retired,2018,GP Belgica,historica
2.0,VET,5,Ferrari,1.0,,False,0 days 00:00:59.569000,0 days 00:01:15.386000,0 days 00:00:45.096000,,,,,1.0,2.0,Finished,2018,GP Belgica,historica
2.0,RAI,7,Ferrari,15.0,0 days 00:02:24.008000,False,0 days 00:00:56.975000,0 days 00:00:52.698000,0 days 00:00:34.335000,MEDIUM,,,,17.0,6.0,Brakes,2018,GP Belgica,historica
